State,County,City,Street,Zipcode,Property_Type,Status,Price,Year_Built,Beds,Bath,Sqft,Lot Area,HOA Due,School_rating,WalkScore,Bike_Score,Garage_availability,Redfin_estimate
Ca,Contra-costa-county,Brentwood,1349 downie point dr,94513,Single family residential,Active,959886.0,2004,4.0,3.0,2847.0,6120.0,0.0,9,30,45.0,Yes,964228.0
Ca,Contra-costa-county,Antioch,5413 southwood way,94531,Single family residential,New,898000.0,1998,6.0,4.5,3616.0,10560.0,0.0,5,2,0.0,Yes,898003.0
Ca,Contra-costa-county,Brentwood,198 continente ave,94513,Single family residential,Active,749950.0,2001,3.0,2.0,1820.0,7700.0,0.0,7,48,69.0,Yes,756443.0
Ca,Contra-costa-county,Concord,1771 broadway #216,94520,Condo,Active,259800.0,1983,1.0,1.0,465.0,465.0,306.0,6,92,56.0,Yes,261223.0
Ca,Contra-costa-county,Concord,2123 dalis dr,94520-5419,Mobile/manufactured home,New,184999.0,1983,2.0,2.0,1440.0,465.0,0.0,3,30,48.0,Yes,184470.0
Ca,Contra-costa-county,Pittsburg,1061 cape may dr,94565,Single family residential,New,679000.0,2001,4.0,2.5,2135.0,3430.0,154.0,5,2,30.0,Yes,688600.0
Ca,Contra-costa-county,Antioch,5532 hazelbrook,94531-8618,Single family residential,Active,748888.0,2003,4.0,3.0,2466.0,7740.0,0.0,5,44,46.0,Yes,754839.0
Ca,Contra-costa-county,Walnut creek,211 saranap ave,94595,Single family residential,Active,998888.0,1953,3.0,1.5,1332.0,7802.0,0.0,9,39,30.0,No,1010136.0
Ca,Contra-costa-county,Antioch,4605 knollpark cir,94531,Single family residential,Active,658000.0,1989,4.0,2.5,1813.0,6252.0,0.0,5,42,61.0,Yes,0.0
Ca,Contra-costa-county,San ramon,2213 dewberry dr,94582,Single family residential,Active,1600000.0,1998,3.0,2.5,1971.0,5363.0,40.0,8,28,16.0,Yes,1618458.0
Ca,Contra-costa-county,Discovery bay,2211 colonial ct,94505,Single family residential,New,899000.0,1989,4.0,3.0,2455.0,7747.0,135.0,7,17,36.0,Yes,901759.0
Ca,Contra-costa-county,Richmond,6217 bernhard ave,94805,Single family residential,New,1095000.0,1953,3.0,2.0,1676.0,4400.0,0.0,5,38,20.0,Yes,1233145.0
Ca,Contra-costa-county,Antioch,934 marie ave,94509,Single family residential,Active,425000.0,1939,2.0,1.0,1174.0,12196.800000000001,0.0,3,68,54.0,Yes,428822.0
Ca,Contra-costa-county,Pittsburg,1035 dawnview ct,94565,Single family residential,New,868000.0,1999,5.0,3.5,3083.0,7500.0,0.0,4,2,4.0,Yes,0.0
Ca,Contra-costa-county,San ramon,110 compton cir unit d,94583,Condo,New,469000.0,1984,1.0,1.0,685.0,7500.0,495.0,9,74,63.0,Yes,479880.0
Ca,Contra-costa-county,Brentwood,1600 meritage loop,94513,Single family residential,Active,1350000.0,2022,3.0,2.5,2054.0,7465.0,366.0,9,3,7.0,Yes,1398145.0
Ca,Contra-costa-county,Brentwood,1370 pearl way,94513,Single family residential,Active,579900.0,2003,2.0,2.0,1582.0,4800.0,155.0,9,5,42.0,Yes,580691.0
Ca,Contra-costa-county,Discovery bay,9655 boca raton way,94505-2689,Single family residential,Active,809000.0,2017,4.0,3.0,2263.0,8213.0,175.0,7,5,33.0,Yes,811325.0
Ca,Contra-costa-county,Pittsburg,153 e trident dr,94565-3526,Single family residential,New,350000.0,1973,2.0,1.0,817.0,3100.0,0.0,5,26,34.0,Yes,353243.0
Ca,Contra-costa-county,Concord,1795 ayers rd,94521,Single family residential,Active,878000.0,1952,3.0,2.0,1604.0,9191.0,0.0,6,37,42.0,Yes,882084.0
Ca,Contra-costa-county,Pacheco,371 pantano cir,94553,Condo,Active,549000.0,1981,3.0,2.5,1426.0,5300.0,465.0,8,73,60.0,Yes,548467.0
Ca,Contra-costa-county,Brentwood,1109 mill creek way,94513,Single family residential,Active,819999.0,1998,5.0,3.0,2271.0,5232.0,0.0,9,53,59.0,Yes,824960.0
Ca,Contra-costa-county,El cerrito,5449 barrett ave,94530-1466,Single family residential,Active,2298000.0,1934,4.0,4.5,3446.0,11325.6,0.0,5,67,48.0,Yes,2655057.0
Ca,Contra-costa-county,Concord,3112 mount diablo st,94518,Single family residential,New,725000.0,1954,3.0,2.0,1130.0,5060.0,0.0,5,49,76.0,Yes,737424.0
Ca,Contra-costa-county,Hercules,1054 cottage ln,94547,Single family residential,Active,749999.0,2004,4.0,3.5,2452.0,3569.0,79.0,7,52,40.0,Yes,757956.0
Ca,Contra-costa-county,Brentwood,562 mandevilla,94513,Single family residential,Active,919999.0,2016,4.0,3.5,3134.0,7148.0,0.0,7,55,64.0,Yes,934651.0
Ca,Contra-costa-county,Pittsburg,3131 la corona dr,94565,Single family residential,New,834900.0,2020,5.0,3.0,2800.0,3934.0,0.0,4,2,4.0,Yes,851833.0
Ca,Contra-costa-county,Antioch,1255 mokelumne ct,94531,Single family residential,Active,839900.0,1998,5.0,3.0,2835.0,8836.0,0.0,5,2,0.0,Yes,841768.0
Ca,Contra-costa-county,Pleasant hill,30 greendell pl,94523,Single family residential,Active,1250000.0,1969,4.0,2.5,2136.0,13939.2,0.0,9,13,25.0,Yes,1280204.0
Ca,Contra-costa-county,Oakley,4616 salvador ln,94561,Single family residential,New,835000.0,2002,5.0,3.0,3683.0,6050.0,0.0,6,22,62.0,Yes,839139.0
Ca,Contra-costa-county,Pleasant hill,10 kilgo ct,94523,Single family residential,New,1225000.0,1959,4.0,2.5,1942.0,11761.2,0.0,8,49,42.0,Yes,1253111.0
Ca,Contra-costa-county,Antioch,5204 grass valley way,94531,Single family home,Active,569000.0,1997,3.0,2.0,1321.0,5750.0,0.0,5,33,44.0,Yes,572448.0
Ca,Contra-costa-county,Danville,1051 hill meadow pl,94526,Single family residential,Active,1995000.0,1989,4.0,2.5,2686.0,16988.4,45.0,9,13,19.0,Yes,2057584.0
Ca,Contra-costa-county,Pleasant hill,40 picasso ct,94523,Townhouse,Active,798000.0,2002,3.0,2.5,1676.0,1340.0,328.0,8,65,76.0,Yes,813471.0
Ca,Contra-costa-county,Pleasant hill,1998 pleasant hill rd,94523,Single family residential,Active,997000.0,1947,3.0,2.0,1498.0,8800.0,0.0,8,46,66.0,Yes,1002914.0
Ca,Contra-costa-county,Walnut creek,2274 oakvale rd,94597,Single family residential,Active,1299000.0,1947,3.0,2.0,1930.0,10454.0,0.0,9,48,22.0,Yes,1369191.0
Ca,Contra-costa-county,Antioch,2016 mangrove way,94509,Single family residential,Active,719900.0,2001,4.0,2.5,2512.0,4966.0,64.0,5,35,46.0,Yes,728345.0
Ca,Contra-costa-county,Brentwood,2509 shadowbrooke rd,94513,Single family residential,Active,980000.0,2014,4.0,4.5,3158.0,6200.0,0.0,7,39,45.0,Yes,990072.0
Ca,Contra-costa-county,Concord,2127 la orinda pl,94518,Single family residential,Active,999999.0,1975,4.0,2.5,2010.0,7875.0,0.0,4,51,47.0,Yes,1036433.0
Ca,Contra-costa-county,Antioch,5465 smetzer way,94531,Single family residential,Active,788000.0,2002,5.0,3.0,3367.0,8000.0,0.0,5,52,44.0,Yes,795114.0
Ca,Contra-costa-county,Richmond,358 s 23rd,94804,Single family residential,Active,599950.0,1942,2.0,2.0,1187.0,4500.0,0.0,2,77,62.0,Yes,603794.0
Ca,Contra-costa-county,Walnut creek,203 mayhew way,94597,Single family residential,New,899000.0,1949,2.0,1.0,840.0,10890.0,0.0,5,67,72.0,Yes,911743.0
Ca,Contra-costa-county,Martinez,537 ross cir,94553,Single family residential,Active,899000.0,2000,4.0,2.5,2002.0,4888.0,54.0,7,24,29.0,Yes,902976.0
Ca,Contra-costa-county,Richmond,3606 stoneglen s,94806,Condo,Active,485000.0,1990,2.0,2.0,1176.0,1176.0,484.0,4,47,24.0,No,485040.0
Ca,Contra-costa-county,Antioch,4561 mendota way,94531,Single family residential,Active,749000.0,2002,4.0,2.5,2698.0,8749.0,0.0,5,14,29.0,Yes,757859.0
Ca,Contra-costa-county,Pinole,975 kilkenny way,94564,Single family residential,Active,769000.0,1965,3.0,2.0,1387.0,6800.0,0.0,5,67,30.0,Yes,771365.0
Ca,Contra-costa-county,Richmond,1205 melville #307,84804-4560,Condo,New,399000.0,1983,1.0,1.0,734.0,6800.0,505.0,4,45,66.0,Yes,399188.0
Ca,Contra-costa-county,Dublin,8051 crossridge rd,94568-3496,Single family residential,New,1649000.0,1988,5.0,2.5,2487.0,5666.0,0.0,9,12,40.0,Yes,1665235.0
Ca,Contra-costa-county,Richmond,461 28th st,94804,Single family residential,Active,719000.0,1929,2.0,2.0,1559.0,3800.0,0.0,2,84,76.0,Yes,718316.0
Ca,Contra-costa-county,Pinole,2313 orleans dr,94564,Single family residential,New,739900.0,1954,4.0,2.0,1333.0,5096.0,0.0,5,69,64.0,Yes,737744.0
Ca,Contra-costa-county,Pittsburg,265 balsam st,94565,Single family residential,New,650000.0,2004,4.0,2.5,2135.0,4150.0,167.0,5,10,37.0,Yes,655541.0
Ca,Contra-costa-county,Clayton,3050 miwok way,94517,Single family residential,Active,1295000.0,1994,4.0,2.0,2505.0,9900.0,0.0,8,7,10.0,Yes,1317494.0
Ca,Contra-costa-county,Antioch,2105 lemontree way #1,94509,Condo,Active,199900.0,1969,2.0,1.0,903.0,9900.0,480.0,3,59,50.0,Yes,201190.0
Ca,Contra-costa-county,Concord,2867 gillet ave,94520,Single family residential,New,350000.0,1953,3.0,1.0,1084.0,5194.0,0.0,3,38,66.0,Yes,353995.0
Ca,Contra-costa-county,Pittsburg,135 w 8th st,94565,Single family residential,Active,479000.0,1918,3.0,1.0,1183.0,3963.0,0.0,4,85,55.0,Yes,480176.0
Ca,Contra-costa-county,Pleasant hill,378 scottsdale,94523,Townhouse,Active,729000.0,1974,3.0,2.5,1365.0,3963.0,418.0,8,47,58.0,Yes,734365.0
Ca,Contra-costa-county,Antioch,2228 jefferson way,94509,Single family residential,New,558000.0,1972,3.0,2.0,1288.0,6500.0,0.0,3,44,52.0,Yes,563469.0
Ca,Contra-costa-county,San ramon,211 cullens ct,94582,Single family residential,New,2348000.0,2005,5.0,4.0,3757.0,5927.0,0.0,9,4,24.0,Yes,2382810.0
Ca,Contra-costa-county,Oakley,123 francisco villa dr,94561,Single family residential,New,550000.0,1970,4.0,2.0,1120.0,6840.0,0.0,6,54,57.0,Yes,551393.0
Ca,Contra-costa-county,Walnut creek,707 autumn dr,94598,Single family residential,New,1999888.0,1966,5.0,3.0,2245.0,12196.800000000001,0.0,9,29,75.0,Yes,2002732.0
Ca,Contra-costa-county,Antioch,810 burwood way,94509,Single family residential,New,578500.0,1984,3.0,2.0,1164.0,6640.0,0.0,3,44,46.0,Yes,585620.0
Ca,Contra-costa-county,Richmond,3423 humphrey ave,94804,Single family residential,Active,915000.0,1941,3.0,2.0,1685.0,5001.0,0.0,3,78,58.0,Yes,941651.0
Ca,Contra-costa-county,Walnut creek,2630 san carlos dr,94598,Single family residential,New,1575000.0,1959,4.0,2.0,1663.0,12632.4,0.0,9,54,58.0,Yes,1594571.0
Ca,Contra-costa-county,Pittsburg,324 houser dr,94565-7205,Single family residential,New,509000.0,1990,3.0,2.5,1608.0,5950.0,88.0,5,16,37.0,Yes,512169.0
Ca,Contra-costa-county,El cerrito,1213 norvell st,94530,Single family residential,Active,799000.0,1948,2.0,1.0,1096.0,5000.0,0.0,7,67,79.0,Yes,944236.0
Ca,Contra-costa-county,Oakley,448 sonnet ct,94561,Single family residential,New,790000.0,2014,5.0,4.5,3222.0,7105.0,114.0,6,9,35.0,Yes,865744.0
Ca,Contra-costa-county,Concord,5458 roundtree dr unit h,94521,Condo,Active,420000.0,1970,2.0,1.0,914.0,1326.0,423.0,8,72,28.0,No,421669.0
Ca,Contra-costa-county,Antioch,3511 dameron pl,94509,Townhouse,New,529900.0,1984,3.0,2.5,1510.0,1344.0,346.0,3,20,31.0,Yes,531773.0
Ca,Contra-costa-county,Concord,3655 walnut ave,94519,Single family residential,Active,925000.0,1953,4.0,2.0,1735.0,8500.0,0.0,6,36,52.0,Yes,927060.0
Ca,Contra-costa-county,San pablo,2970 arundel,94806,Single family residential,New,599000.0,1943,3.0,1.0,948.0,4440.0,0.0,4,55,33.0,Yes,605406.0
Ca,Contra-costa-county,Berkeley,570 woodmont ave,94708,Single family residential,Active,1695000.0,1921,3.0,2.5,2663.0,8800.0,0.0,8,25,25.0,Yes,0.0
Ca,Contra-costa-county,San pablo,1900 pine ave,94806,Single family residential,New,545000.0,1958,4.0,2.0,1183.0,3675.0,0.0,3,79,53.0,Yes,546064.0
Ca,Contra-costa-county,Martinez,504 palms dr,94553,Single family residential,Active,748000.0,2005,3.0,2.0,1856.0,7224.0,0.0,7,18,22.0,Yes,764868.0
Ca,Contra-costa-county,Walnut creek,2641 smith ranch rd,94598,Single family home,Active,2200000.0,2022,4.0,3.5,3816.0,8217.0,0.0,0,41,71.0,Yes,0.0
Ca,Contra-costa-county,Richmond,4000 leke way,94806,Single family residential,Active,525000.0,1950,5.0,2.0,2269.0,5076.0,0.0,5,39,58.0,Yes,528307.0
Ca,Contra-costa-county,Concord,1830 florence ln,94520,Single family residential,Active,430000.0,1949,3.0,2.0,1107.0,9000.0,0.0,4,44,76.0,Yes,428867.0
Ca,Contra-costa-county,San ramon,3482 cinnamon ridge rd,94582,Single family residential,New,2099500.0,2016,4.0,4.5,2921.0,4546.0,99.0,8,12,20.0,Yes,2104447.0
Ca,Contra-costa-county,Antioch,2333 cypress st,94509-5247,Single family residential,Active,499000.0,1979,3.0,2.0,1256.0,3200.0,0.0,3,31,62.0,Yes,505460.0
Ca,Contra-costa-county,Hercules,112 zircon ct,94547,Single family residential,Price change,899000.0,1987,4.0,3.0,1945.0,6100.0,0.0,7,70,25.0,Yes,843222.0
Ca,Contra-costa-county,El sobrante,820 n rancho rd,94803,Single family residential,New,899000.0,1965,4.0,3.0,2235.0,15681.599999999999,0.0,4,18,10.0,Yes,898197.0
Ca,Contra-costa-county,Concord,1896 lynwood dr unit d,94519,Condo,Active,499500.0,1971,2.0,1.5,979.0,720.0,275.0,8,21,42.0,Yes,497528.0
Ca,Contra-costa-county,Walnut creek,1505 arbutus dr,94595,Single family residential,Active,2295000.0,2007,5.0,3.0,3020.0,12632.4,0.0,9,69,48.0,Yes,2329909.0
Ca,Contra-costa-county,Bethel island,3669 porter cir #98,94511,Mobile/manufactured home,Active,225000.0,2007,2.0,2.0,1745.0,12632.4,0.0,6,0,32.0,Yes,224702.0
Ca,Contra-costa-county,Concord,2299 flagstone way,94521,Single family residential,Active,919500.0,1993,3.0,2.5,2517.0,7100.0,179.0,6,6,1.0,Yes,923794.0
Ca,Contra-costa-county,Concord,3051 treat blvd #138,94518,Condo,Active,320000.0,1971,1.0,1.0,730.0,7100.0,425.0,5,69,70.0,No,319655.0
Ca,Contra-costa-county,Pittsburg,2144 rain drop cir,94565,Single family residential,New,539000.0,1991,3.0,2.0,1435.0,5500.0,0.0,5,49,44.0,Yes,545283.0
Ca,Contra-costa-county,Discovery bay,6950 new melones cir,94505,Single family residential,Active,838000.0,1991,4.0,4.0,4088.0,6911.0,174.0,7,5,36.0,Yes,837725.0
Ca,Contra-costa-county,Danville,2025 chadbourne ct,94506,Single family residential,New,1899000.0,1987,4.0,3.0,3102.0,8000.0,100.0,9,30,27.0,Yes,1967275.0
Ca,Contra-costa-county,Hercules,160 lapis ct,94547,Single family residential,Active,1288000.0,1988,4.0,2.5,1908.0,13939.2,0.0,7,1,1.0,Yes,1286782.0
Ca,Contra-costa-county,Discovery bay,6887 new melones cir,94514,Single family residential,New,749000.0,2005,3.0,2.0,2033.0,7726.0,179.0,7,4,33.0,Yes,754901.0
Ca,Contra-costa-county,Oakley,60 wisteria ct,94561,Single family residential,Active,585000.0,1996,3.0,2.0,1546.0,8280.0,0.0,5,52,45.0,Yes,587359.0
Ca,Contra-costa-county,Richmond,590 mclaughlin st,94805,Single family residential,Active,899888.0,1926,4.0,2.0,1395.0,5001.0,0.0,5,80,80.0,Yes,936128.0
Ca,Contra-costa-county,Oakley,12 privet ct,94561,Single family residential,Price change,990000.0,2007,5.0,3.5,4086.0,8000.0,0.0,7,20,39.0,Yes,1041139.0
Ca,Contra-costa-county,Clayton,24 mt wilson way,94517,Single family residential,Active,749950.0,1973,2.0,2.5,1378.0,1200.0,385.0,8,37,20.0,Yes,764366.0
Ca,Contra-costa-county,Martinez,302 warren st,94553,Single family residential,New,575000.0,1926,2.0,1.0,1008.0,3800.0,0.0,7,60,31.0,Yes,581910.0
Ca,Contra-costa-county,Bay point,Undisclosed address,94565,Single family residential,New,569950.0,1970,4.0,2.0,1326.0,6300.0,0.0,4,57,64.0,Yes,572524.0
Ca,Contra-costa-county,Antioch,5201 feather way,94531,Single family residential,New,699950.0,1998,4.0,2.0,2041.0,7500.0,0.0,5,34,34.0,Yes,702642.0
Ca,Contra-costa-county,Walnut creek,1540 candelero dr,94598,Townhouse,New,779000.0,1973,3.0,2.5,1568.0,2244.0,435.0,7,59,80.0,Yes,785947.0
Ca,Contra-costa-county,Danville,117 julia loop,94506,Single family residential,New,2349500.0,2019,4.0,4.5,3085.0,5201.0,168.0,9,38,48.0,Yes,2378239.0
Ca,Contra-costa-county,Brentwood,601 wassen ct,94513,Single family residential,Active,950000.0,2000,5.0,3.0,2800.0,10000.0,0.0,9,26,55.0,Yes,952702.0
Ca,Contra-costa-county,Pleasant hill,1948 ardith dr,94523,Single family residential,New,950000.0,1949,4.0,2.0,1564.0,7300.0,0.0,8,45,76.0,Yes,998888.0
Ca,Contra-costa-county,Richmond,616 s 49th st,94804,Single family residential,New,799999.0,1968,4.0,2.0,1652.0,6000.0,0.0,4,69,76.0,Yes,804930.0
Ca,Contra-costa-county,Walnut creek,2366 parish dr,94598-1535,Single family residential,New,1222222.0,1965,4.0,2.5,1941.0,10200.0,0.0,7,57,85.0,Yes,1257501.0
Ca,Contra-costa-county,Danville,664 dolphin dr,94526,Single family residential,New,2589000.0,1969,3.0,2.0,1986.0,14374.800000000001,0.0,9,13,33.0,Yes,2562040.0
Ca,Alameda-county,Pleasanton,4759 mchenry gate way,94566,Single family residential,New,1878000.0,1984,4.0,3.0,2050.0,7810.0,0.0,9,34,72.0,Yes,1941190.0
Ca,Alameda-county,Berkeley,490 panoramic way,94704,Single family residential,New,899000.0,1948,2.0,2.0,1125.0,5984.0,0.0,8,28,28.0,No,1187240.0
Ca,Alameda-county,Oakland,10530 stella st,94605,Single family residential,Active,1099888.0,2007,5.0,3.5,2892.0,4821.0,0.0,4,26,24.0,Yes,1143238.0
Ca,Alameda-county,Pleasanton,1011 zinfandel ct,94566,Single family residential,New,2498000.0,1987,5.0,3.0,3350.0,9360.0,0.0,9,19,10.0,Yes,2513228.0
Ca,Alameda-county,San lorenzo,179 via malaga,94580,Single family residential,New,948888.0,1951,3.0,2.0,1749.0,9120.0,10.0,4,61,59.0,Yes,956663.0
Ca,Alameda-county,Berkeley,1246 hopkins st,94702,Single family residential,New,1195000.0,1935,2.0,2.0,1391.0,3360.0,0.0,8,86,98.0,Yes,1530898.0
Ca,Alameda-county,Oakland,1718 69th ave,94621,Single family residential,New,609000.0,1915,3.0,2.5,1412.0,5650.0,0.0,3,77,63.0,Yes,613112.0
Ca,Alameda-county,San lorenzo,15725 wagner st,94580,Single family residential,New,639000.0,1951,3.0,1.0,1059.0,5796.0,0.0,4,48,58.0,Yes,647926.0
Ca,Alameda-county,Union city,2529 trailside way,94587,Single family home,Active,1858888.0,1999,5.0,3.0,2521.0,7867.0,0.0,8,47,55.0,Yes,1865861.0
Ca,Alameda-county,Oakland,3936 hanly rd,94602,Single family residential,New,1095000.0,1926,3.0,2.0,1651.0,3564.0,0.0,7,74,38.0,Yes,1281911.0
Ca,Alameda-county,San leandro,16386 mateo st,94578,Single family residential,New,799000.0,1947,2.0,1.0,1018.0,5300.0,0.0,4,70,55.0,Yes,795471.0
Ca,Alameda-county,Emeryville,1510 park ave #311,94608,Condo,New,430000.0,2000,1.0,1.0,644.0,8669.0,452.0,5,72,91.0,Yes,0.0
Ca,Alameda-county,Berkeley,6728 charing cross,94705,Single family residential,New,2950000.0,2022,4.0,4.5,3020.0,7594.0,0.0,8,11,30.0,Yes,3125675.0
